,name,url,address,city,"min_price, RUB","distance, km",service,rating,good_review,bad_review
179,Гостевой Дом Арго,https://ostrovok.ru/hotel/russia/baykal/mid8752531/argo_guest_house_4/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Горная, 8, Листвянка",Листвянка,"
2705 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бассейн; ,8.0,"Расположение в Крестовой Пади Частичный вид на Байкал Территория большая Номера большие Имеется посуда, микроволновка, необходимая мебель; Расположение в центре Листвянки, до конченой маршрутки идти пешком минут 10-15, а до основного места прогулок на льду Байкала, где все ледяные скульптуры и развлечения - 5 минут. Отличный номер. Хотя было забронировано место в 40-местном номере, меня поселили в 3-местный с собственной ванной комнатой и прихожей. Есть вся мебель, телевизор ( не включался), микроволновка, электрочайник и посуда. Очень понравились пушистые пледы на кроватях. В цел; ",
180,Мини-отель Надежда,https://ostrovok.ru/hotel/russia/baykal/mid6638187/gostevoj_dom_nadezhda/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Улица Строительная, д. 29, Утулик",Утулик,"
3239 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бассейн; ,,,
181,Гостевой Дом Девятый Вал,https://ostrovok.ru/hotel/russia/baykal/mid7924727/deviatyi_val/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Улица Чапаева 24, Листвянка",Листвянка,"
5029 ",,Бесплатный интернет; Парковка; Подходит для детей; Бассейн; Бар или ресторан; ,,"Понравилось абсолютно всё. Расположено в двух минутах от озера. Заехали 31 марта 2016г, жили четыре дня. Встретила очень замечательная женщина Наталья Петровна, доброжелательный, внимательный человек, показала комнату: чисто, уютно по домашнему. Есть ещё добрейшей души человек Константин и тепло в комнате отрегулирует и сауну натопит, и в бассейне водичку поменяет и оладышек напечет, лишь бы гостям было хорошо и комфортно. Теперь только там буду; ",
182,Пик Черского,https://ostrovok.ru/hotel/russia/baykal/mid6575270/gostinichnyij_kompleks_pik_cherskogo/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Россия, Иркутская область, Слюдянка, п. Сухой Ручей, ул. Профсоюзная, д. 17, Слюдянка",Слюдянка,"
2000 ",,,,"Оценила ремонт,т.к.я была там еще до него. Благоустроенные номера, чисто, и главное байкал в шаговой доступности. Территория уютная, со вкусом. Вкусные завтраки, особенно каша.; Отличный ресторан. Вкусная кухня. Блюда из омуля на высоте.; ","В номерах нет шкафа для одежды,только вешалка с двумя плечиками. Одежду не куда положить, все лежит на кровати и на полу. ТВ не работает, правда оно и не очень было нужно,т.к.любовались видом байкала. Хотелось бы прогулки на катамаране, лодке(не моторной), нет детской пло; Гостиничный комплекс еще достраивается. Некоторые номера с небольшими недоделками.; "
183,Гостевой Дом Пятница,https://ostrovok.ru/hotel/russia/baykal/mid6514790/friday_guest_house/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Улица Горная 40, Утулик",Утулик,"
4184 ",,Трансфер; Парковка; Подходит для детей; Разрешено с домашними животными; ,10.0,"Отдыхала с 12 по 18 сентября. Условия проживания отличные. Везде чисто, акуратно, со вкусом. Очень уютно. Рядом лес, речка горная. Прекрасно. Хозяева радушные, любая просьба выполняется, все расскажут и покажут. Советую. При возможности обязательно приеду еще раз.; ",
184,Mini-hotel Diana,https://ostrovok.ru/hotel/russia/baykal/mid6692347/minihotel_diana/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Baykalskaya ul., 49, Khuzhir, Irkutskaya oblast&apos;, Russia, 664053, Ольхон",Ольхон,"
5331 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; ,6.0,,"Нет вай-фая, зловонный номер , синтетическое постельное бельё,нет полотенец вообще, очень много китайцев , которые с 5 утра варят еду , громко переговариваясь, нет питьевой воды и переполненные использованной туалетной бумагой, урны.; Нет вай-фая, зловонный номер , синтетическое постельное бельё,нет полотенец вообще, очень много китайцев , которые с 5 утра варят еду , громко переговариваясь, нет питьевой воды и переполненные использованной туалетной бумагой, урны.; "
185,Guesthouse Pushkina,https://ostrovok.ru/hotel/russia/baykal/mid6783190/guesthouse_pushkina/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Ulica Pushkina, 17, 666137 Khuzhir, Russia, Ольхон",Ольхон,"
4443 ",,Бесплатный интернет; Трансфер; Парковка; Бар или ресторан; Спа-услуги; ,8.0,,
186,Angara Hotel,https://ostrovok.ru/hotel/russia/baykal/mid8264304/angara_hotel_3/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"10 Kulikova Street, Листвянка",Листвянка,"
4142 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,5.0,,
187,Меблированные комнаты Байкальская Жемчужинка,https://ostrovok.ru/hotel/russia/baykal/mid8660805/gostevoj_dom_bajkalskaya_zhemchuzhinka/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица 40 лет Победы, д.6-1, Северобайкальск",Северобайкальск,"
2370 ",,Бесплатный интернет; Парковка; Разрешено с домашними животными; Кухня; ,10.0,"Отдыхали в Северобайкальске впервые. Вышли на гостевой дом совершенно случайно, через интернет. Ожидания были оправданы стопроцентно! Уютный домик с верандой, комнаты все чистые, аккуратные. 2 душевые комнаты на домик - это шикарно. Повторюсь, все очень убрано. Атмосфера домашняя, никто не напрягает, находишься полностью в своем распоряжении. Есть зона для при приготовления шашлычков и т.д. Кухня со всеми условиями, где можно без затрат приготови; ",
188,Берег Надежды,https://ostrovok.ru/hotel/russia/baykal/mid6382926/bereg_nadezhdy_2/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Нагорная ул., д. 8, Хужир",Хужир,"
4616 ",,Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,8.0,,
189,Вилла Baikal Prestige,https://ostrovok.ru/hotel/russia/baykal/mid8851795/villa_baikal_prestige/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Ольхонский район, бухта Мандархан, Ольхон",Ольхон,"
11 914 ",,Бесплатный интернет; Парковка; Подходит для детей; Бассейн; Бар или ресторан; ,,,
190,Guest House Otdykh na Baykale,https://ostrovok.ru/hotel/russia/baykal/mid6677955/_0x37d36/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Ulitsa Gorkogo, 3, 666137 Khuzhir, Russia, Ольхон",Ольхон,"
4443 ",48.0,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,7.0,,
